KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-01,1.5769761904762,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-02,1.582495,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-03,1.4946304347826,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-04,1.4663368421053,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-05,1.4995272727273,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-06,1.5043818181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-07,1.4856476190476,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-08,1.4549869565217,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-09,1.4819590909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-10,1.5473714285714,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-11,1.5454727272727,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2022-12,1.568519047619,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-01,1.5522636363636,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-02,1.55138,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-03,1.6034260869565,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-04,1.6388722222222,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-05,1.6346045454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-06,1.6157136363636,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-07,1.6422571428571,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-08,1.6818434782609,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-09,1.662180952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2023-10,1.6636818181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
