DATAFLOW;BBK_STD_FREQ;BBK_STD_CURRENCY;BBK_ERX_PARTNER_CURRENCY;BBK_ERX_SERIES_TYPE;BBK_ERX_RATE_TYPE;BBK_ERX_SUFFIX;TIME_PERIOD;OBS_VALUE;TIME_FORMAT;BBK_DECIMALS;BBK_ID;BBK_UNIT;BBK_UNIT_MULT;BBK_TITLE;WEB_CATEGORY;BBK_COMM_GEN;BBK_COMM_METH;BBK_COMM_SRC;BBK_DIFF_Y
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2010;1.3257;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-5.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2011;1.3920;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;5.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2012;1.2848;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-7.7
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2013;1.3281;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;3.4
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2014;1.3285;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;0.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2015;1.1095;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-16.5
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2016;1.1069;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-0.2
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2017;1.1297;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;2.1
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2018;1.1810;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;4.5
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2019;1.1195;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-5.2
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2020;1.1422;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;2.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2021;1.1827;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;3.5
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2022;1.0530;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-11.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2023;1.0813;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;2.7
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2024;1.0824;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;0.1
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2025;1.1300;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;4.4

